X,Y,Z
0,0,0
-0.0116154,0.207132,0.0820162
-0.045275,0.80285,0.321003
-0.0991986,1.74863,0.706368
-0.171606,3.00597,1.22752
-0.260717,4.53633,1.87386
-0.364752,6.3012,2.63481
-0.48193,8.26207,3.49976
-0.610472,10.3804,4.45813
-0.748597,12.6177,5.49933
-0.894525,14.9354,6.61275
-1.04648,17.2951,7.78781
-1.20267,19.6581,9.01392
-1.36133,21.9861,10.2805
-1.52066,24.2403,11.5769
-1.67891,26.3825,12.8926
-1.83427,28.3739,14.217
-1.98498,30.1762,15.5394
-2.12924,31.7508,16.8494
-2.26529,33.0591,18.1362
-2.39135,34.0627,19.3894
-2.49169,34.6595,20.4319
-2.58081,35.0249,21.3122
-2.67666,35.2943,22.2131
-2.77793,35.4763,23.133
-2.88332,35.5796,24.0701
-2.99151,35.6128,25.0228
-3.10119,35.5845,25.9892
-3.21106,35.5034,26.9676
-3.3198,35.378,27.9564
-3.4261,35.2169,28.9537
-3.52865,35.0289,29.958
-3.62615,34.8225,30.9674
-3.71728,34.6064,31.9803
-3.80073,34.3891,32.9948
-3.87519,34.1793,34.0094
-3.93935,33.9856,35.0222
-3.99191,33.8166,36.0316
-4.03155,33.681,37.0358
-4.05695,33.5874,38.033
-4.06682,33.5444,39.0217
-4.05984,33.5606,40
-4.02988,33.6197,40.9783
-3.97379,33.698,41.9559
-3.89447,33.7938,42.9329
-3.79478,33.9052,43.9092
-3.67762,34.0305,44.8851
-3.54585,34.1681,45.8605
-3.40235,34.3162,46.8356
-3.25002,34.473,47.8104
-3.09172,34.6368,48.7849
-2.93033,34.8059,49.7594
-2.76874,34.9786,50.7337
-2.60983,35.153,51.708
-2.45647,35.3276,52.6824
-2.31154,35.5005,53.657
-2.17792,35.67,54.6318
-2.0585,35.8343,55.6068
-1.95615,35.9919,56.5822
-1.87375,36.1408,57.5581
-1.81418,36.2794,58.5344
-1.78032,36.4059,59.5113
-1.77478,36.5216,60.487
-1.79664,36.6431,61.4615
-1.84314,36.772,62.4369
-1.91159,36.9063,63.4128
-1.9993,37.0442,64.3894
-2.10357,37.1837,65.3664
-2.2217,37.323,66.3437
-2.351,37.4601,67.3213
-2.48878,37.5932,68.299
-2.63233,37.7203,69.2766
-2.77897,37.8395,70.2542
-2.926,37.949,71.2316
-3.07073,38.0468,72.2086
-3.21045,38.1311,73.1852
-3.34248,38.1999,74.1613
-3.46412,38.2514,75.1367
-3.57268,38.2836,76.1113
-3.66545,38.2946,77.0851
-3.73975,38.2825,78.0578
-3.79288,38.2455,79.0295
-3.82214,38.1817,80
-3.82791,38.0804,80.9806
-3.81333,37.9371,81.9595
-3.78045,37.7564,82.9369
-3.73133,37.5426,83.913
-3.66804,37.3001,84.8879
-3.59264,37.0333,85.8619
-3.50718,36.7467,86.8352
-3.41371,36.4447,87.8079
-3.31431,36.1317,88.7803
-3.21103,35.812,89.7525
-3.10593,35.4903,90.7248
-3.00106,35.1707,91.6973
-2.8985,34.8578,92.6702
-2.80028,34.556,93.6437
-2.70848,34.2697,94.6181
-2.62516,34.0033,95.5934
-2.55237,33.7613,96.5699
-2.49217,33.548,97.5479
-2.44662,33.3678,98.5274
-2.41778,33.2253,99.5086
-2.40756,33.1227,100.484
-2.41511,33.0462,101.454
-2.43839,32.9908,102.426
-2.47549,32.9552,103.398
-2.5245,32.9381,104.372
-2.58351,32.9378,105.347
-2.65063,32.9531,106.323
-2.72393,32.9825,107.3
-2.80152,33.0245,108.277
-2.88148,33.0777,109.255
-2.96191,33.1406,110.233
-3.0409,33.212,111.211
-3.11655,33.2902,112.189
-3.18695,33.374,113.167
-3.25019,33.4617,114.145
-3.30436,33.5521,115.123
-3.34755,33.6437,116.1
-3.37787,33.7351,117.076
-3.3934,33.8247,118.052
-3.39224,33.9113,119.027
-3.37247,33.9933,120
-3.33109,34.0773,120.978
-3.26828,34.1694,121.955
-3.18643,34.2689,122.932
-3.08789,34.375,123.909
-2.97506,34.487,124.885
-2.85031,34.6042,125.86
-2.71602,34.7259,126.835
-2.57456,34.8513,127.81
-2.42831,34.9797,128.785
-2.27965,35.1104,129.76
-2.13096,35.2427,130.734
-1.9846,35.3758,131.709
-1.84297,35.5089,132.683
-1.70843,35.6415,133.658
-1.58336,35.7726,134.633
-1.47014,35.9017,135.608
-1.37115,36.028,136.583
-1.28877,36.1508,137.559
-1.22536,36.2692,138.535
-1.18331,36.3827,139.512
-1.1651,36.4931,140.487
